City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Road Town,VG,84.24,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
386,Galveston,US,87.06,scattered clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
387,Virginia Beach,US,87.06,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
389,Grajau,BR,89.51,clear sky,-5.8194,-46.1386,Hotel Confiança
390,Mathbaria,BD,85.66,overcast clouds,22.2876,89.9593,Shikdar Hotel
394,Sri Aman,MY,78.85,moderate rain,1.2376,111.4621,Seri Simanggang Hotel
397,Turbat,PK,85.12,clear sky,26.0023,63.044,Mubashar Quarters
405,Port Hueneme,US,75.13,overcast clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
406,Cruz Alta,BR,82.38,overcast clouds,-28.6386,-53.6064,Hotel Linassi
407,Knin,HR,78.67,clear sky,44.0439,16.2,Hotel Ivan
409,Assiniboia,CA,78.62,overcast clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
412,Jibuti,DJ,85.42,clear sky,11.5,42.5,Orchid Main Camp Goubet
418,Tual,ID,80.91,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
426,Odweyne,SO,78.62,scattered clouds,9.4092,45.064,Eng Hiirey House
430,Soure,BR,83.75,clear sky,-0.7167,-48.5233,Casarão da Amazônia
433,Salinopolis,BR,85.53,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
434,Santa Maria,BR,85.3,clear sky,-29.6842,-53.8069,Hotel Morotin
435,Palmer,US,89.15,few clouds,42.1584,-72.3287,Wedgewood Motel
438,Dingle,PH,76.28,light rain,10.9995,122.6711,SEGAYA PROPERTY
442,Galle,LK,80.22,broken clouds,6.0367,80.217,Amangalla
444,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
446,Hobyo,SO,78.96,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
447,Nola,IT,77.31,overcast clouds,40.922,14.5329,Pamaran Hotel
456,San Diego De La Union,MX,76.1,broken clouds,21.4667,-100.8667,Marcos González rojas
458,Yingcheng,CN,77.05,clear sky,30.95,113.55,Yingcheng Hotel
462,Imbituba,BR,76.89,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
464,Lakefield,US,89.31,clear sky,43.6775,-95.1717,Wind Mill Motel
466,Acapulco,MX,89.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
468,Vanimo,PG,75.22,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
469,Tahlequah,US,77.43,clear sky,35.9154,-94.97,Tahlequah Motor Lodge
470,Basco,PH,83.93,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
471,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
477,Ratnagiri,IN,80.87,overcast clouds,16.9833,73.3,Hotel Landmark
479,Harper,LR,80.98,light rain,4.375,-7.7169,Screensaver
482,Sola,VU,79.18,overcast clouds,-13.8833,167.55,Leumerus Bungalows
490,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
500,Vermilion,US,84.72,scattered clouds,40.1667,-87.7506,Sparkling Springs Cabin
501,Kailua,US,76.14,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
505,Maues,BR,86.74,scattered clouds,-3.3836,-57.7186,Hotel Miramar
506,Wamba,NG,81.16,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
509,Atikokan,CA,83.19,scattered clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
512,Parsons,US,80.98,broken clouds,37.3403,-95.2611,Best Western Parsons Inn
513,Bella Vista,US,78.06,clear sky,36.4295,-94.2316,The Inn at Bella Vista
515,Kashi,CN,83.41,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
517,Komsomolskiy,UZ,86.72,few clouds,40.4272,71.7189,Ikathouse
518,Manokwari,ID,77.45,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
519,Kattivakkam,IN,86.07,overcast clouds,13.2167,80.3167,Raj's villa
520,Siilinjarvi,FI,75.22,clear sky,63.0833,27.6667,Hotelli Sandels Oy
521,Labuhan,ID,79.61,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
524,Ontario,US,85.39,haze,34.0633,-117.6509,American Inn
525,Inongo,CD,77.23,scattered clouds,-1.95,18.2667,Hotel Du Lac
526,Arroyo,ES,78.15,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
530,Makat,KZ,78.89,broken clouds,47.6469,53.3463,Umit
532,Takoradi,GH,82.27,broken clouds,4.8845,-1.7554,Raybow International Hotel
536,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
542,Wajir,KE,85.89,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
