City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Pinega,RU,64.7001,43.3936,75.76,32,9,9.08,clear sky
124,Acarau,BR,-2.8856,-40.12,87.44,53,0,11.36,clear sky
125,Ribeira Grande,PT,38.5167,-28.7,70.2,78,20,11.5,few clouds
126,Upernavik,GL,72.7868,-56.1549,37.54,83,57,2.73,broken clouds
127,Urengoy,RU,65.9667,78.3667,37.98,65,88,17.02,overcast clouds
128,Ormara,PK,25.2088,64.6357,84.22,77,17,4.23,few clouds
129,Joao Pinheiro,BR,-17.7425,-46.1725,81.0,40,65,9.01,broken clouds
130,Chuguyevka,RU,44.1653,133.8633,53.53,89,99,2.3,overcast clouds
131,Tefe,BR,-3.3542,-64.7114,82.51,83,40,0.0,scattered clouds
132,Kaihua,CN,23.3687,104.28,65.23,97,54,4.29,broken clouds
133,Suratgarh,IN,29.3167,73.9,93.2,32,73,13.18,broken clouds
134,Bintawan,PH,16.5759,121.1876,75.49,93,70,2.75,broken clouds
135,Bulgan,MN,48.8125,103.5347,57.65,79,100,4.25,light rain
136,Khatanga,RU,71.9667,102.5,32.83,89,98,6.64,overcast clouds
137,Bambous Virieux,MU,-20.3428,57.7575,74.21,83,40,8.84,scattered clouds
138,Lahat,ID,-3.8,103.5333,73.15,95,12,3.09,few clouds
139,Abay,KZ,49.6311,72.8539,44.98,43,0,9.42,clear sky
140,Mae Sot,TH,16.7167,98.5667,75.06,95,99,3.09,moderate rain
141,Asau,RO,46.4333,26.4,69.28,59,78,6.06,broken clouds
142,Linkoping,SE,58.4109,15.6216,80.26,33,48,6.91,scattered clouds
143,Inhambane,MZ,-23.865,35.3833,69.78,60,20,6.91,few clouds
144,Banda Aceh,ID,5.5577,95.3222,79.95,79,100,11.34,overcast clouds
145,Katsuura,JP,35.1333,140.3,72.1,89,96,9.84,overcast clouds
146,Masterton,NZ,-40.9597,175.6575,58.78,78,94,4.72,overcast clouds
147,Maceio,BR,-9.6658,-35.7353,78.24,88,75,14.74,broken clouds
148,Paita,PE,-5.0892,-81.1144,75.76,70,13,9.62,few clouds
149,Ayan,RU,56.45,138.1667,38.95,92,100,9.53,overcast clouds
150,Kupang,ID,-10.1667,123.5833,77.14,84,31,12.01,scattered clouds
151,Kazuno,JP,40.1836,140.7872,55.24,67,80,3.18,broken clouds
152,Mathathane,BW,-22.2687,28.7495,57.42,35,3,10.89,clear sky
153,Qaanaaq,GL,77.484,-69.3632,38.07,82,100,5.14,overcast clouds
154,Olean,US,42.0776,-78.4297,82.65,38,1,15.7,clear sky
155,Rawson,AR,-43.3002,-65.1023,52.21,43,1,24.58,clear sky
156,Severo-Kurilsk,RU,50.6789,156.125,42.04,95,100,20.8,moderate rain
157,Marawi,PH,7.9986,124.2928,69.66,93,93,2.28,overcast clouds
158,Yaizu,JP,34.8667,138.3333,71.17,88,90,4.61,light rain
159,Bandarbeyla,SO,9.4942,50.8122,80.02,84,99,26.28,overcast clouds
160,Geraldton,AU,-28.7667,114.6,50.41,87,0,7.34,clear sky
161,Hami,CN,42.8,93.45,75.51,34,100,5.97,overcast clouds
162,Westport,US,41.1415,-73.3579,90.28,55,1,3.0,clear sky
163,Klaksvik,FO,62.2266,-6.589,52.72,90,55,13.15,broken clouds
164,Copiapo,CL,-27.3667,-70.3333,56.89,47,33,4.99,scattered clouds
165,Abu Kamal,SY,34.4506,40.9171,88.74,19,0,8.9,clear sky
166,Jinxiang,CN,27.4327,120.6062,69.64,90,79,2.15,broken clouds
167,Barra Patuca,HN,15.8,-84.2833,86.25,66,69,11.86,broken clouds
168,Lebu,CL,-37.6167,-73.65,52.84,68,85,10.22,overcast clouds
169,Awjilah,LY,29.1081,21.2869,87.71,14,0,10.87,clear sky
170,Tommot,RU,58.9564,126.2925,54.88,57,59,3.38,broken clouds
171,Mahebourg,MU,-20.4081,57.7,74.25,83,40,5.75,scattered clouds
172,Puerto Penasco,MX,31.3167,-113.5333,81.91,60,2,14.0,clear sky
173,Ugoofaaru,MV,5.6667,73.0,82.74,77,97,15.52,overcast clouds
174,Cherskiy,RU,68.75,161.3,58.87,44,46,14.23,scattered clouds
175,Bowral,AU,-34.4667,150.4167,44.13,55,77,9.75,broken clouds
176,Falmouth,GB,50.1544,-5.0711,59.9,95,90,12.44,overcast clouds
177,Port-Gentil,GA,-0.7193,8.7815,82.36,78,75,14.97,broken clouds
178,Saryagash,KZ,41.4511,69.1701,91.36,19,84,8.21,broken clouds
179,Madang,PG,-5.2246,145.7966,75.4,92,72,4.09,broken clouds
180,Le Vauclin,MQ,14.5452,-60.8388,86.05,66,75,16.98,broken clouds
181,Iqaluit,CA,63.7506,-68.5145,33.53,93,75,8.01,light snow
182,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,100,90,23.02,mist
183,Tibasosa,CO,5.75,-73.0,65.55,68,38,5.21,scattered clouds
184,Mancio Lima,BR,-7.6142,-72.8958,84.27,84,75,2.53,broken clouds
185,Rovaniemi,FI,66.5,25.7167,65.61,59,93,6.91,moderate rain
186,Waipawa,NZ,-41.4122,175.5153,54.93,79,83,5.84,broken clouds
187,Tabou,CI,4.423,-7.3528,81.39,79,82,10.11,light rain
188,Waingapu,ID,-9.6567,120.2641,76.15,88,78,6.82,broken clouds
189,Dikson,RU,73.5069,80.5464,30.72,98,99,13.82,light snow
190,Tiksi,RU,71.6872,128.8694,34.0,79,100,3.94,overcast clouds
191,Gornopravdinsk,RU,60.05,69.9,62.64,60,63,7.96,broken clouds
192,Chimore,BO,-16.9833,-65.1333,85.77,52,82,5.84,broken clouds
193,Yantal,RU,56.8471,105.2542,51.15,94,100,6.6,overcast clouds
194,Mar Del Plata,AR,-38.0023,-57.5575,60.1,38,0,1.99,clear sky
195,Shimoda,JP,34.6667,138.95,71.17,86,98,13.18,overcast clouds
196,Dunedin,NZ,-45.8742,170.5036,50.81,60,100,15.01,overcast clouds
197,Quatre Cocos,MU,-20.2078,57.7625,74.08,74,16,7.9,few clouds
198,Ammon,US,43.4696,-111.9666,77.95,46,1,1.99,clear sky
199,Korisos,GR,40.5,21.3833,76.96,54,40,3.83,scattered clouds
200,Garowe,SO,8.4054,48.4845,87.96,37,14,15.05,few clouds
